NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_PROVA,TP_SEXO_DESC,TP_COR_RACA_DESC,TP_ESCOLA_DESC,Q006,Q006_RENDA_DESC,GRUPO_RENDA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NU_NOTA_GERAL
210059781640,2023,Curitiba,Feminino,Branca,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),492.5,575.0,569.1,447.2,640.0,544.76
210059509602,2023,Curitiba,Masculino,Indígena,Não informado (Egresso),E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),481.2,614.0,558.4,591.9,660.0,581.1
210059453354,2023,Curitiba,Masculino,Branca,Privada,Q,Q - Mais de 20 SM,Alta Renda (Acima de R$ 6.060),604.2,617.6,550.1,736.7,840.0,669.72
210059604080,2023,Curitiba,Feminino,Parda,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),428.5,515.7,546.4,400.4,480.0,474.2
210059617145,2023,Curitiba,Feminino,Branca,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),538.7,530.7,558.0,620.9,600.0,569.66
210059766651,2023,Curitiba,Masculino,Branca,Privada,L,L - De 8 a 9 SM,Alta Renda (Acima de R$ 6.060),630.8,645.5,641.6,779.7,480.0,635.52
210061300816,2023,Curitiba,Masculino,Branca,Pública,C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),531.9,544.6,537.7,593.5,640.0,569.54
210059430527,2023,Curitiba,Masculino,Branca,Privada,F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),418.2,561.7,535.4,516.3,660.0,538.32
210059481519,2023,Curitiba,Masculino,Branca,Pública,I,I - De 5 a 6 SM,Alta Renda (Acima de R$ 6.060),526.0,337.4,499.8,644.7,860.0,573.58
210060017050,2023,Curitiba,Feminino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),400.9,0.0,290.4,349.7,340.0,276.2
210061080874,2023,Curitiba,Feminino,Branca,Pública,D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),524.2,611.6,597.9,639.9,560.0,586.72
210058683185,2023,Curitiba,Feminino,Branca,Pública,B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),419.7,521.7,491.2,442.3,580.0,490.98
210058779734,2023,Curitiba,Masculino,Branca,Não informado (Egresso),Q,Q - Mais de 20 SM,Alta Renda (Acima de R$ 6.060),748.5,630.1,652.5,795.8,720.0,709.38
210061080858,2023,Curitiba,Feminino,Amarela,Pública,G,G - De 3 a 4 SM,Média Renda (R$ 2.424 a R$ 6.060),560.5,573.1,589.6,590.3,620.0,586.7
